USER_ID,LONGITUDE,LATITUDE,CAPTURE_TIME
1,-71.0928818,42.3650302,2020-05-31 7:05:37
1,-71.0852235,42.3633262,2020-05-31 7:06:06
1,-71.0928827,42.3650294,2020-05-31 7:06:52
1,-71.0839434,42.362861,2020-05-31 7:07:20
1,-71.0849928,42.3630365,2020-05-31 7:09:10
1,-71.0848997,42.3631124,2020-05-31 7:10:20
1,-71.0841438,42.3630545,2020-05-31 7:11:38
1,-71.0928772,42.3650175,2020-05-31 7:12:51
1,-71.084263,42.363086,2020-05-31 7:13:06
1,-71.0844553,42.363065,2020-05-31 7:14:09
1,-71.0838553,42.3627675,2020-05-31 7:15:45
1,-71.0834653,42.3629955,2020-05-31 7:17:08
1,-71.0832933,42.3629753,2020-05-31 7:18:09
1,-71.0928767,42.3650178,2020-05-31 7:18:51
1,-71.0815333,42.3630176,2020-05-31 7:19:43
1,-71.0822316,42.3633199,2020-05-31 7:21:10
1,-71.082395,42.363383,2020-05-31 7:22:55
1,-71.0824085,42.3633881,2020-05-31 7:24:21
1,-71.092886,42.3650057,2020-05-31 7:24:52
1,-71.0825275,42.3634326,2020-05-31 7:26:32
1,-71.0825378,42.3634284,2020-05-31 7:28:39
1,-71.0819525,42.3624907,2020-05-31 7:29:45
1,-71.0928782,42.3650157,2020-05-31 7:30:51
1,-71.0824952,42.363305,2020-05-31 7:31:08
1,-71.0826871,42.3631536,2020-05-31 7:31:52
1,-71.0827237,42.3631427,2020-05-31 7:33:14
1,-71.0816534,42.3623259,2020-05-31 7:34:34
1,-71.0820643,42.3629442,2020-05-31 7:36:11
1,-71.0928841,42.3649917,2020-05-31 7:36:52
1,-71.0827294,42.3629167,2020-05-31 7:37:46
1,-71.0826853,42.3629079,2020-05-31 7:39:28
1,-71.0825646,42.3629055,2020-05-31 7:41:12
1,-71.0826578,42.3629052,2020-05-31 7:42:19
1,-71.0928867,42.3650007,2020-05-31 7:42:52
1,-71.0826272,42.3628762,2020-05-31 7:44:09
1,-71.0826808,42.3628744,2020-05-31 7:45:46
1,-71.0826156,42.3628084,2020-05-31 7:47:02
1,-71.0928937,42.3650304,2020-05-31 7:48:00
1,-71.0825638,42.3627913,2020-05-31 7:48:22
1,-71.0928886,42.3650196,2020-05-31 7:49:21
1,-71.0825487,42.3627871,2020-05-31 7:49:31
1,-71.0929021,42.3650313,2020-05-31 7:50:22
1,-71.0823628,42.3627312,2020-05-31 7:50:41
1,-71.0928967,42.3650146,2020-05-31 7:51:24
1,-71.0818906,42.3627203,2020-05-31 7:51:54
1,-71.0928964,42.3650153,2020-05-31 7:52:26
1,-71.0825863,42.3626676,2020-05-31 7:52:46
1,-71.0928948,42.3650148,2020-05-31 7:53:27
1,-71.0820733,42.3629373,2020-05-31 7:54:06
1,-71.0928911,42.3650209,2020-05-31 7:54:29
1,-71.0820302,42.3629103,2020-05-31 7:55:13
1,-71.0928948,42.3650148,2020-05-31 7:55:31
1,-71.0821593,42.3629104,2020-05-31 7:56:20
1,-71.0928904,42.3650054,2020-05-31 7:56:39
1,-71.0820927,42.362815,2020-05-31 7:57:24
1,-71.0928936,42.3650147,2020-05-31 7:57:40
1,-71.0820202,42.3627177,2020-05-31 7:58:28
1,-71.0928955,42.3650117,2020-05-31 7:58:41
1,-71.0821056,42.3628492,2020-05-31 7:59:33
1,-71.0928951,42.3650134,2020-05-31 7:59:43
1,-71.08173,42.3632233,2020-05-31 8:00:38
1,-71.0928971,42.3650145,2020-05-31 8:00:44
1,-71.0829357,42.3643091,2020-05-31 8:01:43
1,-71.0930241,42.3657542,2020-05-31 8:02:02
1,-71.0928949,42.3650132,2020-05-31 8:03:05
1,-71.0927439,42.3652299,2020-05-31 8:04:08
1,-71.0822288,42.3630472,2020-05-31 8:04:31
1,-71.0929026,42.365034,2020-05-31 8:05:13
1,-71.0829637,42.3625976,2020-05-31 8:06:06
1,-71.0929064,42.365047,2020-05-31 8:06:22
1,-71.0927269,42.3649551,2020-05-31 8:07:45
1,-71.0851007,42.3625669,2020-05-31 8:07:48
1,-71.0927396,42.3649324,2020-05-31 8:08:47
1,-71.0823106,42.3638482,2020-05-31 8:09:05
1,-71.0927526,42.3649726,2020-05-31 8:10:01
1,-71.0832772,42.3626958,2020-05-31 8:10:12
1,-71.092729,42.3649141,2020-05-31 8:11:03
1,-71.0820577,42.3627206,2020-05-31 8:11:58
1,-71.0927125,42.3649394,2020-05-31 8:12:05
1,-71.0824078,42.3632065,2020-05-31 8:13:06
1,-71.0927036,42.3649488,2020-05-31 8:13:07
1,-71.0927019,42.364975,2020-05-31 8:14:09
1,-71.0818693,42.3629609,2020-05-31 8:14:35
1,-71.0926966,42.3649158,2020-05-31 8:15:19
1,-71.0825341,42.3627372,2020-05-31 8:16:01
1,-71.0926775,42.3649658,2020-05-31 8:16:27
1,-71.0926775,42.3649658,2020-05-31 8:17:30
1,-71.0808651,42.361835,2020-05-31 8:17:48
1,-71.0926647,42.3649668,2020-05-31 8:18:32
1,-71.0820542,42.3630374,2020-05-31 8:19:05
1,-71.0928843,42.3650186,2020-05-31 8:19:36
1,-71.0821755,42.3630103,2020-05-31 8:20:32
1,-71.0928761,42.365018,2020-05-31 8:20:37
1,-71.0928774,42.3650152,2020-05-31 8:21:39
1,-71.0836233,42.3635082,2020-05-31 8:22:04
1,-71.0928771,42.3650178,2020-05-31 8:22:41
1,-71.0834224,42.3629906,2020-05-31 8:23:12
1,-71.0928771,42.3650148,2020-05-31 8:24:01
1,-71.0834694,42.3629948,2020-05-31 8:24:15
1,-71.0928775,42.365015,2020-05-31 8:25:05
1,-71.0835185,42.3630011,2020-05-31 8:25:16
1,-71.0928805,42.3650257,2020-05-31 8:26:12
1,-71.0835232,42.3629975,2020-05-31 8:26:18
1,-71.0928774,42.3650151,2020-05-31 8:27:14
1,-71.0837094,42.3629331,2020-05-31 8:27:19
1,-71.0928781,42.3650171,2020-05-31 8:28:16
1,-71.0837315,42.3629672,2020-05-31 8:28:21
1,-71.0928779,42.3650161,2020-05-31 8:28:59
1,-71.0844,42.3628397,2020-05-31 8:29:23
1,-71.0928805,42.3650164,2020-05-31 8:30:18
1,-71.0844224,42.3628629,2020-05-31 8:30:24
1,-71.0928775,42.3650174,2020-05-31 8:31:21
1,-71.0843035,42.362819,2020-05-31 8:31:26
1,-71.0928819,42.3650248,2020-05-31 8:32:22
1,-71.0844932,42.363213,2020-05-31 8:32:31
1,-71.0928787,42.3650164,2020-05-31 8:33:24
1,-71.0841186,42.3631887,2020-05-31 8:33:44
1,-71.0928767,42.3650158,2020-05-31 8:34:25
1,-71.083677,42.3630577,2020-05-31 8:34:46
1,-71.0928768,42.3650157,2020-05-31 8:35:28
1,-71.0841586,42.3631201,2020-05-31 8:35:55
1,-71.0928767,42.3650154,2020-05-31 8:36:30
1,-71.08456,42.3628094,2020-05-31 8:36:55
1,-71.0928766,42.3650158,2020-05-31 8:37:32
1,-71.0838672,42.3627631,2020-05-31 8:38:01
1,-71.0928768,42.3650155,2020-05-31 8:38:38
1,-71.0837194,42.3629523,2020-05-31 8:39:03
1,-71.0928767,42.3650153,2020-05-31 8:39:40
1,-71.0834178,42.3629939,2020-05-31 8:40:04
1,-71.0928767,42.3650157,2020-05-31 8:40:43
1,-71.0834398,42.3629942,2020-05-31 8:41:06
1,-71.0928766,42.3650153,2020-05-31 8:41:45
1,-71.0837469,42.3628904,2020-05-31 8:42:18
1,-71.0928766,42.3650153,2020-05-31 8:42:48
1,-71.0836697,42.3629548,2020-05-31 8:43:19
1,-71.0928766,42.3650152,2020-05-31 8:43:50
1,-71.0837374,42.3629843,2020-05-31 8:44:22
1,-71.0928782,42.3650175,2020-05-31 8:45:01
1,-71.0838944,42.3628187,2020-05-31 8:45:24
1,-71.0928811,42.3650025,2020-05-31 8:46:03
1,-71.0836776,42.3629457,2020-05-31 8:46:38
1,-71.0928856,42.365003,2020-05-31 8:47:39
1,-71.0836757,42.3629467,2020-05-31 8:47:42
